Location,longitude,latitude
0,-121.74346000000001,46.76869
2,-121.74407,46.768370000000004
4,-121.7439,46.76855
6,-121.74203999999999,46.76875
8,-121.74478,46.768390000000004
21,-121.74346000000001,46.76869
23,-121.74421000000001,46.76834
25,-121.74221999999999,46.76862
27,-121.74188000000001,46.768570000000004
29,-121.74478,46.768390000000004
42,-121.7565,46.76862
44,-121.75598000000001,46.76797
46,-121.75712,46.76767
49,-121.75636999999999,46.76788
51,-121.75697,46.76797
63,-121.75653,46.7687
65,-121.75621000000001,46.767959999999995
67,-121.75728000000001,46.76784
69,-121.75653999999999,46.76812
70,-121.75663999999999,46.76788
81,-121.78326000000001,46.77584
84,-121.78291999999999,46.77616
87,-121.78316000000001,46.77715
89,-121.78407,46.776720000000005
91,-121.7829,46.77691
105,-121.78317,46.776
108,-121.78308,46.77622
111,-121.78313999999999,46.77691
113,-121.78403999999999,46.77663
115,-121.78305,46.7768
128,-121.72538999999999,46.7778
130,-121.72594,46.777770000000004
132,-121.72588999999999,46.77818
134,-121.72554,46.77883
136,-121.72401,46.77956
148,-121.72538999999999,46.7778
150,-121.72594,46.777770000000004
152,-121.72573,46.77795
154,-121.72542,46.77902
156,-121.72391,46.77967
168,-121.9151,46.7398
171,-121.91427,46.7392
174,-121.91502,46.73988
177,-121.91654,46.73965
179,-121.91632,46.73899
197,-121.91471000000001,46.739909999999995
200,-121.91403999999999,46.7394
203,-121.91492,46.74004
206,-121.91672,46.739740000000005
209,-121.91641000000001,46.73915
226,-121.7314,46.77646
228,-121.73284,46.77579
230,-121.73115,46.776740000000004
232,-121.73233,46.77568
234,-121.73252,46.77562
246,-121.7322256,46.77587985
248,-121.7315903,46.77623125
250,-121.73226840000001,46.7759677
252,-121.7318102,46.77626472
254,-121.73195679999999,46.77618523
266,-121.88706,46.741040000000005
271,-121.88748999999999,46.741279999999996
274,-121.88898999999999,46.74077
277,-121.88915,46.74095
281,-121.88878000000001,46.74054
300,-121.88725,46.74098
303,-121.8872,46.74134
306,-121.88895,46.74088
309,-121.88923,46.740970000000004
313,-121.88905,46.7405
331,-121.7215071,46.79287117
333,-121.7212482,46.79297311
334,-121.7211703,46.79296421
336,-121.7132575,46.80020508
338,-121.5418308,46.9216635
339,-121.5417841,46.92179267
340,-121.81171840000002,46.74713846
342,-121.7573822,46.77048999
344,-121.7573634,46.77052317
345,-121.75723290000002,46.77035744
346,-121.7805544,46.77696523
347,-121.78049909999999,46.77699914
348,-121.7804715,46.77708113
349,-121.8480304,46.96109525
352,-121.8483189,46.96105451
354,-121.84849820000001,46.96100154
357,-121.51408470000001,46.86545795
360,-121.5140877,46.86549651
362,-121.51415759999999,46.86556464
364,-121.7011378,46.890284
367,-121.7012885,46.89019584
368,-121.7014259,46.89014142
369,-121.7018764,46.89042645
371,-121.7018749,46.89048615
372,-121.701944,46.89055785
374,-121.7480973,46.78436501
376,-121.7481408,46.78440633
378,-121.7481321,46.78441069
380,-121.74811509999998,46.78442914
382,-121.7481137,46.78443527
384,-121.74809599999999,46.78446071
386,-121.7481654,46.78443361
388,-121.74816509999998,46.78443283
390,-121.55128229999998,46.7733287
392,-121.55131589999999,46.773840299999996
394,-121.5480378,46.77185707
396,-121.5480617,46.77179274
398,-121.5480643,46.77171605
400,-121.73457340000002,46.77793315
402,-121.73435500000001,46.777975700000006
403,-121.61120120000001,46.8957584
405,-121.6110987,46.8957327
407,-121.61103840000001,46.89572793
409,-121.83652990000002,46.91842751
412,-121.8366191,46.91837535
414,-121.83665459999999,46.91834292
415,-121.65525819999999,46.93064704
417,-121.6554676,46.93063533
419,-121.6555182,46.93062657
421,-121.85041070000001,46.74107128
423,-121.8504061,46.7411068
425,-121.8503061,46.74114202
427,-121.89501000000001,46.74193601
428,-121.8958402,46.74198605
430,-121.87395149999999,46.80035312
431,-121.8739828,46.80033836
432,-121.87409369999999,46.80029218
433,-121.77626599999999,46.79720966
434,-121.77627920000002,46.79720007
436,-121.77629879999999,46.79718552
437,-121.7780413,46.79733785
439,-121.77797350000002,46.79740217
441,-121.5352794,46.99410449
442,-121.53529679999998,46.99406207
444,-121.5351892,46.9939916
446,-121.53754920000002,46.994992100000005
447,-121.53741979999998,46.99495506
448,-121.53760430000001,46.99488233
449,-121.72465,46.7703333
450,-121.72468329999998,46.77048326
452,-121.7246333,46.77058325
453,-121.72455,46.77038326
454,-121.72453329999999,46.77049994
456,-121.72455,46.77058325
457,-121.72449990000001,46.77038326
458,-121.72443329999999,46.77048664
460,-121.72448329999999,46.77056666
461,-121.72439990000001,46.77036666
462,-121.72434799999999,46.770470200000005
464,-121.7242999,46.77056666
465,-121.72428329999998,46.77036666
466,-121.7242588,46.77044764
468,-121.72421659999999,46.7705333
521,-121.71931670000001,46.77719993
522,-121.71911670000001,46.77728333
525,-121.719,46.77723329
526,-121.71924990000001,46.77714997
527,-121.71906659999999,46.77709993
530,-121.71891969999999,46.77713097
531,-121.71928329999999,46.77709993
532,-121.71913329999998,46.77704997
534,-121.71901670000001,46.77704997
535,-121.7193,46.77704997
536,-121.7191499,46.77699993
538,-121.71903329999999,46.776933299999996
539,-121.71934990000001,46.77699993
540,-121.7192666,46.776933299999996
541,-121.71911670000001,46.77684998
606,-121.71991659999999,46.78126666
607,-121.7201166,46.78128325
609,-121.7204166,46.7812333
610,-121.72006670000002,46.78206663
612,-121.7201166,46.78221666
614,-121.7199138,46.78245571
615,-121.72014180000001,46.78243983
617,-121.72058329999999,46.78243325
632,-121.71995,46.78153329
638,-121.72019990000001,46.78143329
644,-121.7204166,46.78138325
649,-121.71978329999999,46.78213326
657,-121.7202999,46.78199999
663,-121.71988329999999,46.782283299999996
672,-121.72048329999998,46.78221666
690,-121.71758329999999,46.79138328
692,-121.71798329999999,46.79101666
693,-121.71791599999999,46.79150226
694,-121.71833329999998,46.79123333
698,-121.71765800000001,46.79125292
706,-121.71773359999999,46.79139715
711,-121.7177999,46.79128328
716,-121.71803329999999,46.79106661
721,-121.71783329999998,46.79138328
726,-121.7178999,46.79131664
730,-121.71809990000001,46.79116661
735,-121.71781659999999,46.79148328
740,-121.71796670000002,46.7913666
745,-121.7181999,46.79118329
756,-121.71803329999999,46.79138328
766,-121.71084990000001,46.7973833
767,-121.71113329999999,46.79758333
768,-121.71068329999999,46.79733326
773,-121.7108972,46.79743693
782,-121.7108,46.79729998
788,-121.710822,46.79747058
794,-121.71095,46.79763333
799,-121.7108,46.79736662
804,-121.71074990000001,46.79744993
810,-121.71066670000002,46.7976
815,-121.7107666,46.79733326
820,-121.71061680000001,46.79750422
826,-121.71058329999998,46.7976
834,-121.7105271,46.7974686
840,-121.71035,46.7975
844,-121.71203329999999,46.81058333
845,-121.71195,46.81066667
846,-121.712,46.81071667
