STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,30,TEMP AV,19991122 0000,19991122 0000,17, ,DEG F
DAN,D,30,TEMP AV,19991123 0000,19991123 0000,17, ,DEG F
DAN,D,30,TEMP AV,19991124 0000,19991124 0000,26, ,DEG F
DAN,D,30,TEMP AV,19991125 0000,19991125 0000,34, ,DEG F
DAN,D,30,TEMP AV,19991126 0000,19991126 0000,33, ,DEG F
DAN,D,30,TEMP AV,19991127 0000,19991127 0000,30, ,DEG F
DAN,D,30,TEMP AV,19991128 0000,19991128 0000,32, ,DEG F
DAN,D,30,TEMP AV,19991129 0000,19991129 0000,40, ,DEG F
DAN,D,30,TEMP AV,19991130 0000,19991130 0000,30, ,DEG F
DAN,D,30,TEMP AV,19991201 0000,19991201 0000,22, ,DEG F
DAN,D,30,TEMP AV,19991202 0000,19991202 0000,25, ,DEG F
DAN,D,30,TEMP AV,19991203 0000,19991203 0000,30, ,DEG F
DAN,D,30,TEMP AV,19991204 0000,19991204 0000,31, ,DEG F
DAN,D,30,TEMP AV,19991205 0000,19991205 0000,28, ,DEG F
DAN,D,30,TEMP AV,19991206 0000,19991206 0000,27, ,DEG F
DAN,D,30,TEMP AV,19991207 0000,19991207 0000,15, ,DEG F
DAN,D,30,TEMP AV,19991208 0000,19991208 0000,25, ,DEG F
DAN,D,30,TEMP AV,19991209 0000,19991209 0000,---, ,DEG F
DAN,D,30,TEMP AV,19991210 0000,19991210 0000,16, ,DEG F
DAN,D,30,TEMP AV,19991211 0000,19991211 0000,26, ,DEG F
DAN,D,30,TEMP AV,19991212 0000,19991212 0000,28, ,DEG F
DAN,D,30,TEMP AV,19991213 0000,19991213 0000,21, ,DEG F
DAN,D,30,TEMP AV,19991214 0000,19991214 0000,24, ,DEG F
DAN,D,30,TEMP AV,19991215 0000,19991215 0000,---, ,DEG F
DAN,D,30,TEMP AV,19991216 0000,19991216 0000,34, ,DEG F
DAN,D,30,TEMP AV,19991217 0000,19991217 0000,34, ,DEG F
DAN,D,30,TEMP AV,19991218 0000,19991218 0000,33, ,DEG F
DAN,D,30,TEMP AV,19991219 0000,19991219 0000,37, ,DEG F
DAN,D,30,TEMP AV,19991220 0000,19991220 0000,35, ,DEG F
DAN,D,30,TEMP AV,19991221 0000,19991221 0000,28, ,DEG F
DAN,D,30,TEMP AV,19991222 0000,19991222 0000,30, ,DEG F
DAN,D,30,TEMP AV,19991223 0000,19991223 0000,29, ,DEG F
DAN,D,30,TEMP AV,19991224 0000,19991224 0000,28, ,DEG F
DAN,D,30,TEMP AV,19991225 0000,19991225 0000,29, ,DEG F
DAN,D,30,TEMP AV,19991226 0000,19991226 0000,26, ,DEG F
DAN,D,30,TEMP AV,19991227 0000,19991227 0000,27, ,DEG F
DAN,D,30,TEMP AV,19991228 0000,19991228 0000,---, ,DEG F
DAN,D,30,TEMP AV,19991229 0000,19991229 0000,26, ,DEG F
DAN,D,30,TEMP AV,19991230 0000,19991230 0000,26, ,DEG F
DAN,D,30,TEMP AV,19991231 0000,19991231 0000,24, ,DEG F
DAN,D,30,TEMP AV,20000101 0000,20000101 0000,17, ,DEG F
DAN,D,30,TEMP AV,20000102 0000,20000102 0000,15, ,DEG F
DAN,D,30,TEMP AV,20000103 0000,20000103 0000,29, ,DEG F
DAN,D,30,TEMP AV,20000104 0000,20000104 0000,23, ,DEG F
DAN,D,30,TEMP AV,20000105 0000,20000105 0000,21, ,DEG F
DAN,D,30,TEMP AV,20000106 0000,20000106 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000107 0000,20000107 0000,26, ,DEG F
DAN,D,30,TEMP AV,20000108 0000,20000108 0000,28, ,DEG F
DAN,D,30,TEMP AV,20000109 0000,20000109 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000110 0000,20000110 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000111 0000,20000111 0000,25, ,DEG F
DAN,D,30,TEMP AV,20000112 0000,20000112 0000,22, ,DEG F
DAN,D,30,TEMP AV,20000113 0000,20000113 0000,29, ,DEG F
DAN,D,30,TEMP AV,20000114 0000,20000114 0000,28, ,DEG F
DAN,D,30,TEMP AV,20000115 0000,20000115 0000,28, ,DEG F
DAN,D,30,TEMP AV,20000116 0000,20000116 0000,26, ,DEG F
DAN,D,30,TEMP AV,20000117 0000,20000117 0000,29, ,DEG F
DAN,D,30,TEMP AV,20000118 0000,20000118 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000119 0000,20000119 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000120 0000,20000120 0000,29, ,DEG F
DAN,D,30,TEMP AV,20000121 0000,20000121 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000122 0000,20000122 0000,19, ,DEG F
DAN,D,30,TEMP AV,20000123 0000,20000123 0000,26, ,DEG F
DAN,D,30,TEMP AV,20000124 0000,20000124 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000125 0000,20000125 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000126 0000,20000126 0000,---, ,DEG F
DAN,D,30,TEMP AV,20000127 0000,20000127 0000,20, ,DEG F
DAN,D,30,TEMP AV,20000128 0000,20000128 0000,19, ,DEG F
DAN,D,30,TEMP AV,20000129 0000,20000129 0000,21, ,DEG F
DAN,D,30,TEMP AV,20000130 0000,20000130 0000,20, ,DEG F
DAN,D,30,TEMP AV,20000131 0000,20000131 0000,22, ,DEG F
DAN,D,30,TEMP AV,20000201 0000,20000201 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000202 0000,20000202 0000,35, ,DEG F
DAN,D,30,TEMP AV,20000203 0000,20000203 0000,31, ,DEG F
DAN,D,30,TEMP AV,20000204 0000,20000204 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000205 0000,20000205 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000206 0000,20000206 0000,25, ,DEG F
DAN,D,30,TEMP AV,20000207 0000,20000207 0000,30, ,DEG F
DAN,D,30,TEMP AV,20000208 0000,20000208 0000,31, ,DEG F
DAN,D,30,TEMP AV,20000209 0000,20000209 0000,27, ,DEG F
DAN,D,30,TEMP AV,20000210 0000,20000210 0000,22, ,DEG F
DAN,D,30,TEMP AV,20000211 0000,20000211 0000,18, ,DEG F
DAN,D,30,TEMP AV,20000212 0000,20000212 0000,18, ,DEG F
DAN,D,30,TEMP AV,20000213 0000,20000213 0000,27, ,DEG F
